epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.2958,1.60456,3.86602,0.00793,0.00898,0.44024,0.04499,0.02537,1.19067,4.41823,0.00675,0.0001,0.0001,0.0001
2,64.7636,1.36123,3.68851,0.00807,0.0102,0.5,0.13885,0.08269,1.17424,4.35633,0.00671,0.000217822,0.000217822,0.000217822
3,101.391,1.46917,3.28958,0.00715,0.01126,0.55179,0.14512,0.08979,1.17161,4.29594,0.00673,0.000333268,0.000333268,0.000333268
4,142.773,1.45536,3.55509,0.00936,0.01195,0.58566,0.15604,0.10158,1.19622,4.24438,0.00668,0.000446338,0.000446338,0.000446338
5,182.453,1.27739,3.61892,0.01067,0.0124,0.60757,0.14391,0.09491,1.13579,4.18726,0.00641,0.000557032,0.000557032,0.000557032
6,222.193,1.33944,2.98261,0.008,0.01248,0.61155,0.13128,0.08662,1.22842,4.12445,0.00742,0.00066535,0.00066535,0.00066535
7,262.147,1.53033,3.02833,0.00849,0.01195,0.58566,0.15913,0.10259,1.16181,4.08479,0.00713,0.000771292,0.000771292,0.000771292
8,301.824,1.38414,2.87268,0.00852,0.01033,0.50598,0.17231,0.10511,1.20712,4.11716,0.00723,0.000874858,0.000874858,0.000874858
9,341.956,1.45368,2.90954,0.00868,0.01057,0.51793,0.19649,0.1212,1.22066,4.02381,0.0074,0.000976048,0.000976048,0.000976048
10,381.423,1.41809,2.99132,0.00916,0.01191,0.58367,0.19595,0.11215,1.22154,3.96064,0.00779,0.00107486,0.00107486,0.00107486
11,421.428,1.39363,2.85376,0.00903,0.45577,0.1368,0.24606,0.1471,1.26149,3.78733,0.00759,0.0011713,0.0011713,0.0011713
12,461.309,1.46962,2.57852,0.00913,0.55645,0.15139,0.31196,0.17882,1.29701,3.62205,0.00846,0.00126536,0.00126536,0.00126536
13,500.687,1.26981,2.80472,0.00907,0.50478,0.24366,0.35617,0.20397,1.31485,3.4568,0.00864,0.00135705,0.00135705,0.00135705
14,540.111,1.47087,2.67564,0.00846,0.61485,0.20035,0.36941,0.21827,1.28849,3.44833,0.00827,0.00144636,0.00144636,0.00144636
15,579.611,1.38034,2.72772,0.00968,0.68347,0.23227,0.41891,0.24271,1.34606,3.37426,0.00883,0.00153329,0.00153329,0.00153329
16,619.337,1.48559,2.47751,0.00942,0.65527,0.37649,0.51943,0.29766,1.34089,3.10186,0.00897,0.00161785,0.00161785,0.00161785
17,659.405,1.42668,2.54897,0.00994,0.63557,0.43079,0.50892,0.28399,1.37244,3.0233,0.00912,0.0016832,0.0016832,0.0016832
18,700.081,1.49095,2.51854,0.00856,0.60808,0.44197,0.49438,0.28049,1.35951,2.91791,0.0091,0.0016634,0.0016634,0.0016634
19,738.806,1.43106,2.36715,0.00886,0.58838,0.44223,0.50463,0.29086,1.40103,2.8054,0.00944,0.0016436,0.0016436,0.0016436
20,778.267,1.51116,3.74516,0.01266,0.55538,0.46016,0.48911,0.25823,1.5251,2.82438,0.01121,0.0016238,0.0016238,0.0016238
