epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.5713,3.87203,4.04093,4.27703,0.00151,0.10264,0.00092,0.00033,3.84354,4.07789,4.1593,0.0001,0.0001,0.0001
2,55.7782,3.52803,5.7602,3.54744,0.0015,0.10264,0.00089,0.00031,3.84329,4.07946,4.15912,0.00021274,0.00021274,0.00021274
3,81.4957,4.15857,3.79746,4.23196,0.00149,0.09971,0.00092,0.00032,3.84201,4.07769,4.15796,0.00031756,0.00031756,0.00031756
4,107.061,4.06125,3.9445,4.1758,0.00148,0.09971,0.00105,0.00035,3.84012,4.07636,4.15603,0.00041446,0.00041446,0.00041446
5,132.641,3.84886,3.72851,4.15186,0.00151,0.10264,0.00489,0.00181,3.8375,4.07621,4.15203,0.00050344,0.00050344,0.00050344
6,157.992,4.16865,3.93979,4.08324,0.00147,0.09971,0.00111,0.00036,3.83054,4.07115,4.14498,0.0005845,0.0005845,0.0005845
7,184.829,3.91599,3.69945,4.05393,0.00146,0.09971,0.00089,0.0003,3.82722,4.0608,4.13871,0.00065764,0.00065764,0.00065764
8,211.234,3.79277,3.52064,3.9989,0.00145,0.09971,0.0009,0.00032,3.83531,4.05114,4.13527,0.00072286,0.00072286,0.00072286
9,236.68,3.5171,3.46079,3.93168,0.00145,0.09971,0.00091,0.00031,3.85873,4.04135,4.13794,0.00078016,0.00078016,0.00078016
10,262.284,3.69446,3.35768,3.83198,0.0014,0.09677,0.00085,0.00029,3.8982,4.04904,4.1519,0.00082954,0.00082954,0.00082954
11,288.783,3.45879,3.95053,3.83167,0.00122,0.08504,0.00075,0.00028,3.97544,4.05194,4.19185,0.000871,0.000871,0.000871
12,314.796,3.33894,3.29733,3.72669,0.00122,0.08504,0.00074,0.00026,4.03386,4.08392,4.22203,0.00090454,0.00090454,0.00090454
13,340.861,3.43447,3.52906,3.76007,0.00127,0.08504,0.00077,0.00025,4.09237,4.11792,4.26975,0.00093016,0.00093016,0.00093016
14,366.59,3.50315,3.43895,3.5831,0.00125,0.08211,0.00083,0.00027,4.11686,4.16506,4.29562,0.00094786,0.00094786,0.00094786
15,392.419,3.27345,3.26266,3.59911,0.00125,0.08211,0.00082,0.00029,4.12826,4.18354,4.31745,0.00095764,0.00095764,0.00095764
16,418.378,3.38802,3.25654,3.50296,0.00131,0.08504,0.00092,0.00031,4.13481,4.1683,4.35983,0.0009595,0.0009595,0.0009595
17,444.136,3.3888,3.22601,3.47061,0.00129,0.08504,0.00089,0.00029,4.1441,4.1443,4.38802,0.000944,0.000944,0.000944
18,470.734,3.14752,3.55683,3.43618,0.00158,0.07331,0.00098,0.00034,4.12869,4.09895,4.38736,0.000878,0.000878,0.000878
19,497.375,3.36429,3.37328,3.41262,0.00172,0.07625,0.00249,0.00086,4.07446,4.05161,4.32255,0.000812,0.000812,0.000812
20,524.216,3.17763,3.96372,3.42643,0.00237,0.10557,0.00429,0.00147,3.95399,3.97226,4.21958,0.000746,0.000746,0.000746
21,551.439,3.22234,3.72076,3.42098,0.00261,0.11437,0.00187,0.00059,3.91828,3.94474,4.18453,0.00068,0.00068,0.00068
22,578.017,2.99368,3.48143,3.2953,0.00372,0.17595,0.00253,0.00074,3.79583,3.95999,4.03927,0.000614,0.000614,0.000614
23,605.38,3.08414,3.5766,3.32983,0.00369,0.20235,0.00285,0.00082,3.68394,3.92502,3.94266,0.000548,0.000548,0.000548
24,631.548,3.03428,3.65255,3.30326,0.00435,0.29326,0.00443,0.00112,3.40553,3.75872,3.7106,0.000482,0.000482,0.000482
25,658.042,3.20576,3.47904,3.32618,0.00481,0.34018,0.00531,0.00145,3.24262,3.68769,3.63253,0.000416,0.000416,0.000416
26,684.495,3.0413,3.63339,3.20646,0.00541,0.39003,0.00996,0.00255,3.08828,3.62714,3.54022,0.00035,0.00035,0.00035
27,710.283,2.98457,3.55162,3.24607,0.00569,0.41056,0.01077,0.003,3.01976,3.60477,3.50138,0.000284,0.000284,0.000284
28,736.393,3.12148,3.43221,3.17513,0.00589,0.42522,0.01563,0.00429,2.96938,3.60119,3.4337,0.000218,0.000218,0.000218
29,762.33,3.02461,3.58361,3.22716,0.01011,0.31378,0.01651,0.00458,2.94352,3.59472,3.40732,0.000152,0.000152,0.000152
30,788.249,2.96666,3.49287,3.12531,0.03389,0.18182,0.01859,0.00503,2.88837,3.58768,3.35182,8.6e-05,8.6e-05,8.6e-05
